Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,28/04/2022,2nd,Delhi Capitals,Wankhede Stadium,M R Marsh (c V R Iyer),3.0,1/24,,18.00,8.00,1,24.00
2,07/05/2022,1st,Lucknow Super Giants,Maharashtra Cricket Association Stadium,,2.0,0/27,,30.00,10.20,1,51.00
3,29/04/2023,2nd,Gujarat Titans,Eden Gardens,H H Pandya (lbw),3.0,1/25,,24.00,9.50,2,38.00
4,04/05/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,M A Agarwal (c †Rahmanullah Gurbaz),4.0,1/27,,24.00,8.58,3,34.33
5,08/05/2023,1st,Punjab Kings,Eden Gardens,Prabhsimran Singh (c †Rahmanullah Gurbaz),3.0,2/33,,18.00,9.07,4,27.20
,,,,,P B B Rajapaksa (c †Rahmanullah Gurbaz),,,,,,5,
6,11/05/2023,2nd,Rajasthan Royals,Eden Gardens,,2.0,0/22,,20.40,9.29,5,31.60
7,14/05/2023,1st,Chennai Super Kings,MA Chidambaram Stadium,,2.0,0/19,,22.80,9.32,5,35.40
8,20/05/2023,1st,Lucknow Super Giants,Eden Gardens,K S Sharma (c S N Thakur),3.0,1/21,,22.00,9.00,6,33.00
9,23/03/2024,2nd,Sunrisers Hyderabad,Eden Gardens,M A Agarwal (c Rinku Singh),4.0,3/33,,17.33,8.88,7,25.67
,,,,,Shahbaz Ahmed (c S S Iyer),,,,,,8,
,,,,,H Klaasen (c S Sharma),,,,,,9,
10,29/03/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,F du Plessis (c M A Starc),4.0,2/39,,16.36,9.00,10,24.55
,,,,,Anuj Rawat (c †P D Salt),,,,,,11,
11,03/04/2024,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,16.36,9.00,11,24.55
12,14/04/2024,1st,Lucknow Super Giants,Eden Gardens,,4.0,0/35,,18.55,8.97,11,27.73
13,16/04/2024,2nd,Rajasthan Royals,Eden Gardens,S V Samson (c S P Narine),4.0,2/45,,17.54,9.21,12,26.92
,,,,,R Parag (c A D Russell),,,,,,13,
14,21/04/2024,2nd,Royal Challengers Bengaluru,Eden Gardens,V Kohli (c & b),4.0,2/33,,16.80,9.12,14,25.53
,,,,,S S Prabhudessai (c Angkrish Raghuvanshi),,,,,,15,
15,26/04/2024,2nd,Punjab Kings,Eden Gardens,,4.0,0/61,,18.40,9.65,15,29.60
16,29/04/2024,1st,Delhi Capitals,Eden Gardens,A Porel (b),4.0,2/28,,17.65,9.44,16,27.76
,,,,,Rasikh Salam (c S S Iyer),,,,,,17,
17,05/05/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,K L Rahul (c Ramandeep Singh),3.1,3/24,,15.95,9.33,18,24.80
,,,,,K H Pandya (c †P D Salt),,,,,,19,
,,,,,Ravi Bishnoi (lbw),,,,,,20,
18,11/05/2024,2nd,Mumbai Indians,Eden Gardens,Naman Dhir (c Ramandeep Singh),3.0,2/34,,15.32,9.44,21,24.09
,,,,,Tilak Varma (c †P D Salt),,,,,,22,
19,19/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,15.32,9.44,22,24.09
20,21/05/2024,1st,Sunrisers Hyderabad,Narendra Modi Stadium,Abdul Samad (c S S Iyer),4.0,1/27,,15.70,9.26,23,24.22
21,26/05/2024,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,N K Reddy (c †Rahmanullah Gurbaz),4.0,2/24,,15.40,9.05,24,23.24
,,,,,H Klaasen (b),,,,,,25,
22,22/03/2025,2nd,Royal Challengers Bengaluru,Eden Gardens,,3.0,0/32,,16.12,9.13,25,24.52
23,26/03/2025,1st,Rajasthan Royals,Barsapara Cricket Stadium,D C Jurel (b),4.0,2/36,,15.81,9.12,26,24.04
,,,,,S O Hetmeyer (c Angkrish Raghuvanshi),,,,,,27,
24,31/03/2025,2nd,Mumbai Indians,Wankhede Stadium,,2.0,0/28,,16.26,9.25,27,25.07
25,03/04/2025,2nd,Sunrisers Hyderabad,Eden Gardens,Abhishek Sharma (c V R Iyer),3.0,1/15,,16.32,9.09,28,24.71
26,08/04/2025,1st,Lucknow Super Giants,Eden Gardens,A K Markram (b),4.0,2/51,,16.03,9.27,29,24.77
,,,,,Abdul Samad (b),,,,,,30,
27,11/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,R Ravindra (c A M Rahane),4.0,2/16,,15.78,9.02,31,23.72
,,,,,R Ashwin (c V G Arora),,,,,,32,
28,15/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,P Arya (c Ramandeep Singh),3.0,3/25,,14.94,8.99,33,22.40
,,,,,S S Iyer (c Ramandeep Singh),,,,,,34,
,,,,,Prabhsimran Singh (c Ramandeep Singh),,,,,,35,
29,21/04/2025,1st,Gujarat Titans,Eden Gardens,R Tewatia (c Ramandeep Singh),4.0,1/45,,15.19,9.09,36,23.03
