1,,01/05/2022,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,-,0,,0/24,0,,1,1,,,,24 years 104 days
2,1,04/05/2022,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,2*,2,,0/21,0,,,1,,,,24 years 107 days
3,,08/05/2022,Delhi Capitals,Dr DY Patil Sports Academy,-,2,,2/27,2,36.00,,1,,,,24 years 111 days
4,2,12/05/2022,Mumbai Indians,Wankhede Stadium,2,4,4.00,1/22,3,31.33,,1,,,,24 years 115 days
5,,15/05/2022,Gujarat Titans,Wankhede Stadium,-,4,4.00,0/26,3,40.00,,1,,,,24 years 118 days
6,3,20/05/2022,Rajasthan Royals,Brabourne Stadium,3*,7,7.00,1/18,4,34.50,,1,,,,24 years 123 days
7,,05/05/2024,Punjab Kings,Himachal Pradesh Cricket Association Stadium,-,7,7.00,2/16,6,25.67,2,3,,,,26 years 109 days
8,,10/05/2024,Gujarat Titans,Narendra Modi Stadium,-,7,7.00,0/60,6,35.67,,3,,,,26 years 114 days
9,,12/05/2024,Rajasthan Royals,MA Chidambaram Stadium,-,7,7.00,3/26,9,26.67,,3,,,,26 years 116 days
10,,18/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,7,7.00,0/19,9,28.78,,3,,,,26 years 122 days
11,,23/03/2025,Rajasthan Royals,Rajiv Gandhi International Stadium,-,7,7.00,2/46,11,27.73,,3,,,,27 years 65 days
12,4,27/03/2025,Lucknow Super Giants,Rajiv Gandhi International Stadium,3*,10,10.00,0/28,11,30.27,,3,,,,27 years 69 days
13,5,03/04/2025,Kolkata Knight Riders,Eden Gardens,0,10,5.00,0/47,11,34.55,,3,,,,27 years 76 days
14,6,06/04/2025,Gujarat Titans,Rajiv Gandhi International Stadium,0,10,3.33,0/20,11,36.36,,3,,,,27 years 79 days
